Bill Short Title,Status,Sponsor,Date
Casino Control and Other Legislation Amendment Bill 2022,PASSED with amendment,Hon G Grace MP,14/10/2022
Casino Control and Other Legislation Amendment Bill 2022,Assent,Hon G Grace MP,21/10/2022
Child Protection (Offender Reporting and Offender Prohibition Order) and Other Legislation Amendment Bill 2022,Introduced,Hon M Ryan MP,26/10/2022
Child Protection (Offender Reporting and Offender Prohibition Order) and Other Legislation Amendment Bill 2022,PASSED with amendment,Hon M Ryan MP,24/8/2023
Child Protection (Offender Reporting and Offender Prohibition Order) and Other Legislation Amendment Bill 2022,Assent,Hon M Ryan MP,1/9/2023
Coal Mining Safety and Health and Other Legislation Amendment Bill 2022,Introduced,Hon S Stewart MP,12/10/2022
Coal Mining Safety and Health and Other Legislation Amendment Bill 2022,PASSED,Hon S Stewart MP,9/11/2022
Coal Mining Safety and Health and Other Legislation Amendment Bill 2022,Assent,Hon S Stewart MP,21/11/2022
Corrective Services (Emerging Technologies and Security) and Other Legislation Amendment Bill 2022,Introduced,Hon M Ryan MP,29/11/2022
Corrective Services (Emerging Technologies and Security) and Other Legislation Amendment Bill 2022,PASSED,Hon M Ryan MP,23/5/2023
Corrective Services (Emerging Technologies and Security) and Other Legislation Amendment Bill 2022,Assent,Hon M Ryan MP,2/6/2023
Domestic and Family Violence Protection (Combating Coercive Control) and Other Legislation Amendment Bill 2022,Introduced,Hon S Fentiman MP,14/10/2022
Domestic and Family Violence Protection (Combating Coercive Control) and Other Legislation Amendment Bill 2022,PASSED with amendment,Hon S Fentiman MP,22/2/2023
Domestic and Family Violence Protection (Combating Coercive Control) and Other Legislation Amendment Bill 2022,Assent,Hon S Fentiman MP,28/2/2023
Environmental Protection and Other Legislation Amendment Bill 2022,Introduced,Hon M Scanlon MP,12/10/2022
Environmental Protection and Other Legislation Amendment Bill 2022,PASSED with amendment,Hon M Scanlon MP,29/3/2023
Environmental Protection and Other Legislation Amendment Bill 2022,Assent,Hon M Scanlon MP,5/4/2023
Health and Other Legislation Amendment Bill 2022,Introduced,Hon Y D'Ath MP,29/11/2022
Health and Other Legislation Amendment Bill 2022,PASSED,Hon Y D'Ath MP,19/4/2023
Health and Other Legislation Amendment Bill 2022,Assent,Hon Y D'Ath MP,2/5/2023
Health Practitioner Regulation National Law and Other Legislation Amendment Bill 2022,Introduced,Hon Y D'Ath MP,11/5/2022
Health Practitioner Regulation National Law and Other Legislation Amendment Bill 2022,PASSED with amendment,Hon Y D'Ath MP,13/10/2022
Health Practitioner Regulation National Law and Other Legislation Amendment Bill 2022,Assent,Hon Y D'Ath MP,21/10/2022
Holidays and Other Legislation Amendment Bill 2022,Introduced,Hon G Grace MP,15/9/2022
Holidays and Other Legislation Amendment Bill 2022,PASSED,Hon G Grace MP,15/9/2022
Holidays and Other Legislation Amendment Bill 2022,Assent,Hon G Grace MP,15/9/2022
Housing Legislation Amendment Bill 2022,Introduced,Hon L Enoch MP,27/10/2022
Housing Legislation Amendment Bill 2022,PASSED with amendment,Hon L Enoch MP,28/3/2023
Housing Legislation Amendment Bill 2022,Assent,Hon L Enoch MP,5/4/2023
Industrial Relations and Other Legislation Amendment Bill 2022,Introduced,Hon G Grace MP,23/6/2022
Industrial Relations and Other Legislation Amendment Bill 2022,PASSED with amendment,Hon G Grace MP,28/10/2022
Industrial Relations and Other Legislation Amendment Bill 2022,Assent,Hon G Grace MP,3/11/2022
Integrity and Other Legislation Amendment Bill 2022,Introduced,Hon A Palaszczuk MP,14/10/2022
Integrity and Other Legislation Amendment Bill 2022,PASSED with amendment,Hon A Palaszczuk MP,30/11/2022
Integrity and Other Legislation Amendment Bill 2022,Assent,Hon A Palaszczuk MP,12/12/2022
Land and Other Legislation Amendment Bill 2022,Introduced,Hon S Stewart MP,17/3/2022
Land and Other Legislation Amendment Bill 2022,PASSED with amendment,Hon S Stewart MP,23/2/2023
Land and Other Legislation Amendment Bill 2022,Assent,Hon S Stewart MP,28/2/2023
Land Tax and Other Legislation (Empty Homes Levy) Amendment Bill 2022 *,Introduced,Dr A MacMahon MP,26/10/2022
Land Tax and Other Legislation (Empty Homes Levy) Amendment Bill 2022 *,Discharged,Dr A MacMahon MP,26/10/2022
Liquid Fuel Supply (Minimum Biobased Petrol Content) Amendment Bill 2022 *,Introduced,Mr N Dametto MP,13/10/2022
Liquid Fuel Supply (Minimum Biobased Petrol Content) Amendment Bill 2022 *,2nd reading failed,Mr N Dametto MP,10/10/2023
Local Government Electoral and Other Legislation (Expenditure Caps) Amendment Bill 2022,Introduced,Hon Dr S Miles MP,1/12/2022
Local Government Electoral and Other Legislation (Expenditure Caps) Amendment Bill 2022,PASSED with amendment,Hon Dr S Miles MP,18/4/2023
Local Government Electoral and Other Legislation (Expenditure Caps) Amendment Bill 2022,Assent,Hon Dr S Miles MP,2/5/2023
Major Sports Facilities Amendment Bill 2022,Introduced,Hon S Hinchliffe MP,17/8/2022
Major Sports Facilities Amendment Bill 2022,PASSED,Hon S Hinchliffe MP,26/10/2022
Major Sports Facilities Amendment Bill 2022,Assent,Hon S Hinchliffe MP,31/10/2022
Monitoring of Places of Detention (Optional Protocol to the Convention Against Torture) Bill 2022,Introduced,Hon S Fentiman MP,1/12/2022
Monitoring of Places of Detention (Optional Protocol to the Convention Against Torture) Bill 2022,PASSED with amendment,Hon S Fentiman MP,23/5/2023
Monitoring of Places of Detention (Optional Protocol to the Convention Against Torture) Bill 2022,Assent,Hon S Fentiman MP,2/6/2023
Nature Conservation and Other Legislation Amendment Bill 2022,Introduced,Hon M Scanlon MP,24/2/2022
Nature Conservation and Other Legislation Amendment Bill 2022,PASSED,Hon M Scanlon MP,12/10/2022
Nature Conservation and Other Legislation Amendment Bill 2022,Assent,Hon M Scanlon MP,21/10/2022
Personal Injuries Proceedings and Other Legislation Amendment Bill 2022,Introduced,Hon S Fentiman MP,31/3/2022
Personal Injuries Proceedings and Other Legislation Amendment Bill 2022,PASSED with amendment,Hon S Fentiman MP,22/6/2022
Personal Injuries Proceedings and Other Legislation Amendment Bill 2022,Assent,Hon S Fentiman MP,30/6/2022
Petroleum and Gas (Production and Safety) (Royalties and Cost of Living Relief) Amendment Bill 2022 *,Introduced,Dr A MacMahon MP,30/11/2022
Petroleum and Gas (Production and Safety) (Royalties and Cost of Living Relief) Amendment Bill 2022 *,Discharged,Dr A MacMahon MP,30/11/2022
Police Powers and Responsibilities (Jack’s Law) Amendment Bill 2022,Introduced,Hon M Ryan MP,30/11/2022
Police Powers and Responsibilities (Jack’s Law) Amendment Bill 2022,PASSED,Hon M Ryan MP,30/3/2023
Police Powers and Responsibilities (Jack’s Law) Amendment Bill 2022,Assent,Hon M Ryan MP,2/4/2023
Police Powers and Responsibilities and Other Legislation Amendment Bill 2022,Introduced,Hon M Ryan MP,30/11/2022
Police Powers and Responsibilities and Other Legislation Amendment Bill 2022,PASSED with amendment,Hon M Ryan MP,20/4/2023
Police Powers and Responsibilities and Other Legislation Amendment Bill 2022,Assent,Hon M Ryan MP,2/5/2023
Police Service Administration and Other Legislation Amendment Bill (No. 2) 2022,Introduced,Hon M Ryan MP,27/10/2022
Police Service Administration and Other Legislation Amendment Bill (No. 2) 2022,PASSED,Hon M Ryan MP,30/3/2023
Police Service Administration and Other Legislation Amendment Bill (No. 2) 2022,Assent,Hon M Ryan MP,5/4/2023
Public Health and Other Legislation (COVID-19 Management) Amendment Bill 2022,Introduced,Hon Y D'Ath MP,1/9/2022
Public Health and Other Legislation (COVID-19 Management) Amendment Bill 2022,PASSED,Hon Y D'Ath MP,26/10/2022
Public Health and Other Legislation (COVID-19 Management) Amendment Bill 2022,Assent,Hon Y D'Ath MP,31/10/2022
Public Health and Other Legislation (Extension of Expiring Provisions) Amendment Bill 2022,Introduced,Hon Y D'Ath MP,22/2/2022
Public Health and Other Legislation (Extension of Expiring Provisions) Amendment Bill 2022,PASSED,Hon Y D'Ath MP,31/3/2022
Public Health and Other Legislation (Extension of Expiring Provisions) Amendment Bill 2022,Assent,Hon Y D'Ath MP,8/4/2022
Public Sector Bill 2022,Introduced,Hon A Palaszczuk MP,14/10/2022
Public Sector Bill 2022,PASSED with amendment,Hon A Palaszczuk MP,30/11/2022
Public Sector Bill 2022,Assent,Hon A Palaszczuk MP,12/12/2022
Racing Integrity Amendment Bill 2022,Introduced,Hon G Grace MP,24/2/2022
Racing Integrity Amendment Bill 2022,PASSED,Hon G Grace MP,25/10/2022
Racing Integrity Amendment Bill 2022,Assent,Hon G Grace MP,31/10/2022
Residential Tenancies and Rooming Accommodation (Rent Freeze) Amendment Bill 2022 *,Introduced,Dr A MacMahon MP,31/8/2022
Residential Tenancies and Rooming Accommodation (Rent Freeze) Amendment Bill 2022 *,Discharged,Dr A MacMahon MP,11/5/2023
Revenue Legislation Amendment Bill 2022,Introduced,Hon C Dick MP,21/6/2022
Revenue Legislation Amendment Bill 2022,PASSED,Hon C Dick MP,24/6/2022
Revenue Legislation Amendment Bill 2022,Assent,Hon C Dick MP,30/6/2022
State Penalties Enforcement (Modernisation) Amendment Bill 2022,Introduced,Hon C Dick MP,17/3/2022
State Penalties Enforcement (Modernisation) Amendment Bill 2022,PASSED,Hon C Dick MP,24/5/2022
State Penalties Enforcement (Modernisation) Amendment Bill 2022,Assent,Hon C Dick MP,10/6/2022
Trading (Allowable Hours) and Other Legislation Amendment Bill 2022,Introduced,Hon G Grace MP,25/5/2022
Trading (Allowable Hours) and Other Legislation Amendment Bill 2022,PASSED,Hon G Grace MP,18/8/2022
Trading (Allowable Hours) and Other Legislation Amendment Bill 2022,Assent,Hon G Grace MP,29/8/2022
Transport Legislation (Road Safety and Other Matters) Amendment Bill 2022,Introduced,Hon M Bailey MP,26/5/2022
Transport Legislation (Road Safety and Other Matters) Amendment Bill 2022,PASSED,Hon M Bailey MP,31/8/2022
Transport Legislation (Road Safety and Other Matters) Amendment Bill 2022,Assent,Hon M Bailey MP,7/9/2022
Water Legislation Amendment Bill 2022,Introduced,Hon G Butcher MP,12/10/2022
Water Legislation Amendment Bill 2022,PASSED with amendment,Hon G Butcher MP,14/9/2023
Water Legislation Amendment Bill 2022,Assent,Hon G Butcher MP,20/9/2023
Appropriation (Parliament) Bill (No. 2) 2021,Introduced,Hon C Dick MP,15/9/2021
Appropriation (Parliament) Bill (No. 2) 2021,PASSED,Hon C Dick MP,23/2/2022
Appropriation (Parliament) Bill (No. 2) 2021,Assent,Hon C Dick MP,14/3/2022
Appropriation (Parliament) Bill 2021,Introduced,Hon C Dick MP,15/6/2021
Appropriation (Parliament) Bill 2021,PASSED,Hon C Dick MP,1/9/2021
Appropriation (Parliament) Bill 2021,Assent,Hon C Dick MP,6/9/2021
Appropriation Bill (No. 2) 2021,Introduced,Hon C Dick MP,15/9/2021
Appropriation Bill (No. 2) 2021,PASSED,Hon C Dick MP,23/2/2022
Appropriation Bill (No. 2) 2021,Assent,Hon C Dick MP,14/3/2022
Appropriation Bill 2021,Introduced,Hon C Dick MP,15/6/2021
Appropriation Bill 2021,PASSED,Hon C Dick MP,1/9/2021
Appropriation Bill 2021,Assent,Hon C Dick MP,6/9/2021
Big Bank Levy (COVID-19 Health Response) Bill 2021 *,Introduced,Dr A MacMahon MP,27/10/2021
Big Bank Levy (COVID-19 Health Response) Bill 2021 *,Discharged,Dr A MacMahon MP,17/11/2021
Brisbane Olympic and Paralympic Games Arrangements Bill 2021,Introduced,Hon A Palaszczuk MP,27/10/2021
Brisbane Olympic and Paralympic Games Arrangements Bill 2021,PASSED with amendment,Hon A Palaszczuk MP,2/12/2021
Brisbane Olympic and Paralympic Games Arrangements Bill 2021,Assent,Hon A Palaszczuk MP,15/12/2021
Child Protection Reform and Other Legislation Amendment Bill 2021,Introduced,Hon L Linard MP,15/9/2021
Child Protection Reform and Other Legislation Amendment Bill 2021,PASSED,Hon L Linard MP,10/5/2022
Child Protection Reform and Other Legislation Amendment Bill 2021,Assent,Hon L Linard MP,20/5/2022
COVID-19 Emergency Response and Other Legislation Amendment Bill 2021,Introduced,Hon S Fentiman MP,11/3/2021
COVID-19 Emergency Response and Other Legislation Amendment Bill 2021,PASSED,Hon S Fentiman MP,20/4/2021
COVID-19 Emergency Response and Other Legislation Amendment Bill 2021,Assent,Hon S Fentiman MP,23/4/2021
Criminal Law (Raising the Age of Responsibility) Amendment Bill 2021 *,Introduced,Mr M Berkman MP,15/9/2021
Criminal Law (Raising the Age of Responsibility) Amendment Bill 2021 *,2nd reading failed,Mr M Berkman MP,16/8/2022
Debt Reduction and Savings Bill 2021,Introduced,Hon C Dick MP,25/3/2021
Debt Reduction and Savings Bill 2021,PASSED with amendment,Hon C Dick MP,27/5/2021
Debt Reduction and Savings Bill 2021,Assent,Hon C Dick MP,2/6/2021
Defamation (Model Provisions) and Other Legislation Amendment Bill 2021,Introduced,Hon S Fentiman MP,20/4/2021
Defamation (Model Provisions) and Other Legislation Amendment Bill 2021,PASSED,Hon S Fentiman MP,16/6/2021
Defamation (Model Provisions) and Other Legislation Amendment Bill 2021,Assent,Hon S Fentiman MP,24/6/2021
Environmental and Other Legislation (Reversal of Great Barrier Reef Protection Measures) Amendment Bill 2021 *,Introduced,Mr N Dametto MP,21/4/2021
Environmental and Other Legislation (Reversal of Great Barrier Reef Protection Measures) Amendment Bill 2021 *,2nd reading failed,Mr N Dametto MP,29/3/2022
Evidence and Other Legislation Amendment Bill 2021,Introduced,Hon S Fentiman MP,16/11/2021
Evidence and Other Legislation Amendment Bill 2021,PASSED with amendment,Hon S Fentiman MP,26/5/2022
Evidence and Other Legislation Amendment Bill 2021,Assent,Hon S Fentiman MP,10/6/2022
Food (Labelling of Seafood) Amendment Bill 2021 *,Introduced,Mr R Katter MP,17/11/2021
Food (Labelling of Seafood) Amendment Bill 2021 *,2nd reading failed,Mr R Katter MP,25/10/2022
Health and Other Legislation Amendment Bill 2021,Introduced,Hon Y D'Ath MP,1/12/2021
Health and Other Legislation Amendment Bill 2021,PASSED with amendment,Hon Y D'Ath MP,24/2/2022
Health and Other Legislation Amendment Bill 2021,Assent,Hon Y D'Ath MP,8/3/2022
Housing Legislation Amendment Bill 2021,Introduced,Hon L Enoch MP,18/6/2021
Housing Legislation Amendment Bill 2021,PASSED with amendment,Hon L Enoch MP,14/10/2021
Housing Legislation Amendment Bill 2021,Assent,Hon L Enoch MP,20/10/2021
Inspector of Detention Services Bill 2021,Introduced,Hon S Fentiman MP,28/10/2021
Inspector of Detention Services Bill 2021,PASSED,Hon S Fentiman MP,30/8/2022
Inspector of Detention Services Bill 2021,Assent,Hon S Fentiman MP,7/9/2022
Justice and Other Legislation Amendment Bill 2021,Introduced,Hon S Fentiman MP,15/9/2021
Justice and Other Legislation Amendment Bill 2021,PASSED with amendment,Hon S Fentiman MP,18/11/2021
Justice and Other Legislation Amendment Bill 2021,Assent,Hon S Fentiman MP,24/11/2021
Police Legislation (Efficiencies and Effectiveness) Amendment Bill 2021,Introduced,Hon M Ryan MP,16/9/2021
Police Legislation (Efficiencies and Effectiveness) Amendment Bill 2021,PASSED,Hon M Ryan MP,15/3/2022
Police Legislation (Efficiencies and Effectiveness) Amendment Bill 2021,Assent,Hon M Ryan MP,25/3/2022
Police Powers and Responsibilities and Other Legislation Amendment Bill 2021,Introduced,Hon M Ryan MP,15/9/2021
Police Powers and Responsibilities and Other Legislation Amendment Bill 2021,PASSED,Hon M Ryan MP,30/11/2021
Police Powers and Responsibilities and Other Legislation Amendment Bill 2021,Assent,Hon M Ryan MP,3/12/2021
Police Service Administration and Other Legislation Amendment Bill 2021,Introduced,Hon M Ryan MP,16/11/2021
Police Service Administration and Other Legislation Amendment Bill 2021,PASSED,Hon M Ryan MP,12/5/2022
Police Service Administration and Other Legislation Amendment Bill 2021,Assent,Hon M Ryan MP,20/5/2022
Public Health and Other Legislation (Further Extension of Expiring Provisions) Amendment Bill 2021,Introduced,Hon Y D'Ath MP,16/6/2021
Public Health and Other Legislation (Further Extension of Expiring Provisions) Amendment Bill 2021,PASSED with amendment,Hon Y D'Ath MP,2/9/2021
Public Health and Other Legislation (Further Extension of Expiring Provisions) Amendment Bill 2021,Assent,Hon Y D'Ath MP,9/9/2021
Public Trustee (Advisory and Monitoring Board) Amendment Bill 2021,Introduced,Hon S Fentiman MP,28/10/2021
Public Trustee (Advisory and Monitoring Board) Amendment Bill 2021,PASSED with amendment,Hon S Fentiman MP,11/5/2022
Public Trustee (Advisory and Monitoring Board) Amendment Bill 2021,Assent,Hon S Fentiman MP,20/5/2022
Queensland University of Technology Amendment Bill 2021,Introduced,Hon G Grace MP,1/9/2021
Queensland University of Technology Amendment Bill 2021,PASSED with amendment,Hon G Grace MP,16/11/2021
Queensland University of Technology Amendment Bill 2021,Assent,Hon G Grace MP,24/11/2021
Queensland Veterans' Council Bill 2021,Introduced,Hon A Palaszczuk MP,22/4/2021
Queensland Veterans' Council Bill 2021,PASSED with amendment,Hon A Palaszczuk MP,28/10/2021
Queensland Veterans' Council Bill 2021,Assent,Hon A Palaszczuk MP,4/11/2021
Residential Tenancies and Rooming Accomodation (Tenants' Rights) and Other Legislation Amendment Bill 2021 *,Introduced,Dr A MacMahon MP,26/5/2021
Residential Tenancies and Rooming Accomodation (Tenants' Rights) and Other Legislation Amendment Bill 2021 *,Discharged,Dr A MacMahon MP,14/10/2021
Resources and Other Legislation Amendment Bill 2021,Introduced,Hon S Stewart MP,16/6/2021
Resources and Other Legislation Amendment Bill 2021,PASSED with amendment,Hon S Stewart MP,13/10/2021
Resources and Other Legislation Amendment Bill 2021,Assent,Hon S Stewart MP,20/10/2021
Small Business Commissioner Bill 2021,Introduced,Hon D Farmer MP,12/10/2021
Small Business Commissioner Bill 2021,PASSED with amendment,Hon D Farmer MP,29/3/2022
Small Business Commissioner Bill 2021,Assent,Hon D Farmer MP,8/4/2022
Superannuation (State Public Sector) (Scheme Administration) Amendment Bill 2021,Introduced,Hon C Dick MP,1/9/2021
Superannuation (State Public Sector) (Scheme Administration) Amendment Bill 2021,PASSED with amendment,Hon C Dick MP,26/10/2021
Superannuation (State Public Sector) (Scheme Administration) Amendment Bill 2021,Assent,Hon C Dick MP,28/10/2021
Voluntary Assisted Dying Bill 2021,Introduced,Hon A Palaszczuk MP,25/5/2021
Voluntary Assisted Dying Bill 2021,PASSED,Hon A Palaszczuk MP,16/9/2021
Voluntary Assisted Dying Bill 2021,Assent,Hon A Palaszczuk MP,23/9/2021
Working with Children (Indigenous Communities) Amendment Bill 2021 *,Introduced,Mr R Katter MP,1/9/2021
Working with Children (Indigenous Communities) Amendment Bill 2021 *,2nd reading failed,Mr R Katter MP,14/3/2023
Youth Justice and Other Legislation Amendment Bill 2021,Introduced,Hon M Ryan MP,25/2/2021
Youth Justice and Other Legislation Amendment Bill 2021,PASSED with amendment,Hon M Ryan MP,22/4/2021
Youth Justice and Other Legislation Amendment Bill 2021,Assent,Hon M Ryan MP,30/4/2021
Appropriation (2020-2021) Bill 2020,Introduced,Hon C Dick MP,1/12/2020
Appropriation (2020-2021) Bill 2020,PASSED,Hon C Dick MP,24/2/2021
Appropriation (2020-2021) Bill 2020,Assent,Hon C Dick MP,8/3/2021
Appropriation (Parliament) (2020-2021) Bill 2020,Introduced,Hon C Dick MP,1/12/2020
Appropriation (Parliament) (2020-2021) Bill 2020,PASSED,Hon C Dick MP,24/2/2021
Appropriation (Parliament) (2020-2021) Bill 2020,Assent,Hon C Dick MP,8/3/2021
Child Protection and Other Legislation Amendment Bill 2020,Introduced,Hon L Linard MP,3/12/2020
Child Protection and Other Legislation Amendment Bill 2020,PASSED,Hon L Linard MP,23/3/2021
Child Protection and Other Legislation Amendment Bill 2020,Assent,Hon L Linard MP,7/4/2021
COVID-19 Emergency Response and Other Legislation Amendment Bill 2020,Introduced,Hon S Fentiman MP,26/11/2020
COVID-19 Emergency Response and Other Legislation Amendment Bill 2020,PASSED,Hon S Fentiman MP,2/12/2020
COVID-19 Emergency Response and Other Legislation Amendment Bill 2020,Assent,Hon S Fentiman MP,4/12/2020
Criminal Code (Consent and Mistake of Fact) and Other Legislation Amendment Bill 2020,Introduced,Hon S Fentiman MP,26/11/2020
Criminal Code (Consent and Mistake of Fact) and Other Legislation Amendment Bill 2020,PASSED with amendment,Hon S Fentiman MP,25/3/2021
Criminal Code (Consent and Mistake of Fact) and Other Legislation Amendment Bill 2020,Assent,Hon S Fentiman MP,7/4/2021
Disability Services and Other Legislation (Worker Screening) Amendment Bill 2020,Introduced,Hon C Crawford MP,26/11/2020
Disability Services and Other Legislation (Worker Screening) Amendment Bill 2020,PASSED,Hon C Crawford MP,4/12/2020
Disability Services and Other Legislation (Worker Screening) Amendment Bill 2020,Assent,Hon C Crawford MP,11/12/2020
Liquor (Artisan Liquor) Amendment Bill 2020,Introduced,Hon S Fentiman MP,26/11/2020
Liquor (Artisan Liquor) Amendment Bill 2020,PASSED,Hon S Fentiman MP,9/3/2021
Liquor (Artisan Liquor) Amendment Bill 2020,Assent,Hon S Fentiman MP,15/3/2021
Nature Conservation and Other Legislation (Indigenous Joint Management - Moreton Island) Amendment Bill 2020,Introduced,Hon M Scanlon MP,3/12/2020
Nature Conservation and Other Legislation (Indigenous Joint Management - Moreton Island) Amendment Bill 2020,PASSED,Hon M Scanlon MP,13/5/2021
Nature Conservation and Other Legislation (Indigenous Joint Management - Moreton Island) Amendment Bill 2020,Assent,Hon M Scanlon MP,20/5/2021
Public Health and Other Legislation (Extension of Expiring Provisions) Amendment Bill 2020,Introduced,Hon Y D'Ath MP,3/12/2020
Public Health and Other Legislation (Extension of Expiring Provisions) Amendment Bill 2020,PASSED,Hon Y D'Ath MP,24/2/2021
Public Health and Other Legislation (Extension of Expiring Provisions) Amendment Bill 2020,Assent,Hon Y D'Ath MP,8/3/2021
Waste Reduction and Recycling (Plastic Items) Amendment Bill 2020,Introduced,Hon M Scanlon MP,3/12/2020
Waste Reduction and Recycling (Plastic Items) Amendment Bill 2020,PASSED with amendment,Hon M Scanlon MP,10/3/2021
Waste Reduction and Recycling (Plastic Items) Amendment Bill 2020,Assent,Hon M Scanlon MP,15/3/2021
Workers' Compensation and Rehabilitation and Other Legislation Amendment Bill 2020,Introduced,Hon G Grace MP,26/11/2020
Workers' Compensation and Rehabilitation and Other Legislation Amendment Bill 2020,PASSED with amendment,Hon G Grace MP,12/5/2021
Workers' Compensation and Rehabilitation and Other Legislation Amendment Bill 2020,Assent,Hon G Grace MP,20/5/2021
